0,1,2,3,4,5,6,7,8,9,10
Marquette Golden Eagles (0-0) at Georgia Bulldogs (0-0),,,,,,,,,,
Week #1 - Game #1,,,,,,,,,,
"Stegeman Coliseum | Athens, GA",1E,1L,1ST HALF,2E,2L,2ND HALF,OT,FINAL,,
"Marquette Golden Eagles (0-0, 0-0)",17,18,35,18,13,31,-,66,,
Box-and-1 Defense: PG Zhawnte Hodges 6-4 229 (Sr) Woodward Academy (College Park GA) [**],,,,,,,,,,
"Georgia Bulldogs (0-0, 0-0)",20,12,32,19,10,29,-,61,,
Box-and-1 Defense: PG Dequinn Carroll 6-1 187 (So) Martin Luther (Greendale WI) [Talent*],,,,,,,,,,
"Game and Audit Related Information - Please place an ""X"" in each of the below boxes before requesting an audit. No ""X""s No Audit.",,,,,,,,,,
X,"Required Info for Audit: Home team or higher seed on bottom. Logo in first column. Team with mascot and record in second column. Please copy the location in the format ARENA NAME | TOWN, ST from the depth charts in that format. Game Information should be: (Week #10 - Game #20) or (NCAA Tournament Sweet 16), etc. EVERYONE filled out a score sheet for each quarter.",,,,,,,,,
X,"Turn Order Rules: In Home-Away, the Away team goes first every quarter. In Neutral Site, order snakes low, high, high, low each half.",,,,,,,,,
X,Advantages: HCA = two highest minus two. HSA = highest plus one. FTD = two lowest numbers summed,,,,,,,,,
X,Disadvantages must be subtracted going down the lineup and wrapping back around to the top. Player supplied disadvantages target the same position then wrap around going down.,,,,,,,,,
SCHOOL MASCOT Score Sheet (First/Second Half Early/Late),,,,,,,,,,
Point Calc Order,1,2,3a,3b,4/5,6,7,Final,Comments,
Pos,Player,Rolls,Doubling Rolls,Gameplan Effects (Yours),Gameplan Effects (Theirs),Attributes (Yours),Stars,Attributes (Theirs),Total,Notes
PG,PG Marcus Reese 6-5 238 Fr Sunrise ﻿Christian Academy (Bel Aire KS) [*],1,5,-,-,1,1,-2,6,-1 for HCA -1 Aggressive
SG,SG Chamaun Carroll 6-4 214 (Sr) Martin Luther (Greendale WI) [Protection*],5,-,-,-,-,1,-1,5,-
SF,F﻿G Kreighton McKinney 6-8 252 Fr Mount Horeb (Mount Horeb WI) [Rebounder*],3,-,-,-,2,1,-1,5,+2 Rebounder
PF,P﻿F Brooklyn Washington 6-6 248 (Sr) St. Catherine's (Racine WI) [*]﻿,0,-,-,-,-,1,-1,0,-
